No.,Symbol,Company,Sector,Industry
95,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing
96,NI,NiSource Inc.,Utilities,Utilities - Regulated Gas
97,GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods
98,TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research
99,GE,General Electric Company,Industrials,Specialty Industrial Machinery
100,AAPL,Apple Inc.,Technology,Consumer Electronics
101,WY,Weyerhaeuser Company,Real Estate,REIT - Specialty
102,APA,APA Corporation,Energy,Oil & Gas E&P
103,NRG,"NRG Energy, Inc.",Utilities,Utilities - Independent Power Producers
104,MET,"MetLife, Inc.",Financial,Insurance - Life
105,MO,"Altria Group, Inc.",Consumer Defensive,Tobacco
106,HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services
107,IP,International Paper Company,Consumer Cyclical,Packaging & Containers
108,AXP,American Express Company,Financial,Credit Services
109,AVGO,Broadcom Inc.,Technology,Semiconductors
110,PM,Philip Morris International Inc.,Consumer Defensive,Tobacco
111,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense
112,FTV,Fortive Corporation,Technology,Scientific & Technical Instruments
113,MMC,"Marsh & McLennan Companies, Inc.",Financial,Insurance Brokers
114,CRM,"Salesforce, Inc.",Technology,Software - Application
115,BSX,Boston Scientific Corporation,Healthcare,Medical Devices
116,CPRT,"Copart, Inc.",Consumer Cyclical,Auto & Truck Dealerships
117,VTRS,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic
118,PNC,"The PNC Financial Services Group, Inc.",Financial,Banks - Regional
119,ALL,The Allstate Corporation,Financial,Insurance - Property & Casualty
120,PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric
121,FCX,Freeport-McMoRan Inc.,Basic Materials,Copper
122,WMT,Walmart Inc.,Consumer Defensive,Discount Stores
123,PFG,"Principal Financial Group, Inc.",Financial,Asset Management
124,SO,The Southern Company,Utilities,Utilities - Regulated Electric
125,ICE,"Intercontinental Exchange, Inc.",Financial,Financial Data & Stock Exchanges
126,HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense
127,TXN,Texas Instruments Incorporated,Technology,Semiconductors
128,NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric
129,NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories
130,CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application
131,DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction
132,TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream
133,LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts
134,BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services
135,AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail
136,DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores
137,KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic
138,ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic
139,SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure
140,NOW,"ServiceNow, Inc.",Technology,Software - Application
141,USB,U.S. Bancorp,Financial,Banks - Regional
142,ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric
143,MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners
144,CME,CME Group Inc.,Financial,Financial Data & Stock Exchanges
145,INTU,Intuit Inc.,Technology,Software - Application
146,TECH,Bio-Techne Corporation,Healthcare,Biotechnology
147,WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities
148,COF,Capital One Financial Corporation,Financial,Credit Services
149,LUV,Southwest Airlines Co.,Industrials,Airlines
150,VICI,VICI Properties Inc.,Real Estate,REIT - Diversified
151,CSX,CSX Corporation,Industrials,Railroads
152,NWSA,News Corporation,Communication Services,Entertainment
153,TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers
154,MOH,"Molina Healthcare, Inc.",Healthcare,Healthcare Plans
155,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services
156,UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics
157,BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies
158,AON,Aon plc,Financial,Insurance Brokers
159,MA,Mastercard Incorporated,Financial,Credit Services
160,WBA,"Walgreens Boots Alliance, Inc.",Healthcare,Pharmaceutical Retailers
161,CE,Celanese Corporation,Basic Materials,Chemicals
162,WRK,WestRock Company,Consumer Cyclical,Packaging & Containers
163,PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery
164,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General
165,WTW,Willis Towers Watson Public Limited Company,Financial,Insurance Brokers
166,NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction
167,SRE,Sempra Energy,Utilities,Utilities - Diversified
168,WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream
169,APH,Amphenol Corporation,Technology,Electronic Components
170,WM,"Waste Management, Inc.",Industrials,Waste Management
171,FRC,First Republic Bank,Financial,Banks - Regional
172,FITB,Fifth Third Bancorp,Financial,Banks - Regional
173,CARR,Carrier Global Corporation,Industrials,Building Products & Equipment
174,EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery
175,EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices
176,MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic
177,CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants
178,TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods
179,SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors
180,HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging
181,ANET,"Arista Networks, Inc.",Technology,Computer Hardware
182,RF,Regions Financial Corporation,Financial,Banks - Regional
183,AIZ,"Assurant, Inc.",Financial,Insurance - Specialty
184,RHI,Robert Half International Inc.,Industrials,Staffing & Employment Services
185,IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery
186,MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials
187,PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic
188,ROP,"Roper Technologies, Inc.",Technology,Software - Application
189,ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies
190,LEN,Lennar Corporation,Consumer Cyclical,Residential Construction
191,WRB,W. R. Berkley Corporation,Financial,Insurance - Property & Casualty
192,AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential
193,GS,"The Goldman Sachs Group, Inc.",Financial,Capital Markets
194,GEN,Gen Digital Inc.,Technology,Software - Infrastructure
195,KR,The Kroger Co.,Consumer Defensive,Grocery Stores
196,FLT,"FLEETCOR Technologies, Inc.",Technology,Software - Infrastructure
