No.,Symbol,Company,Sector,Industry
292,DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research
293,KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials
294,PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction
295,VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services
296,EQR,Equity Residential,Real Estate,REIT - Residential
297,PLD,"Prologis, Inc.",Real Estate,REIT - Industrial
298,DAL,"Delta Air Lines, Inc.",Industrials,Airlines
299,TROW,"T. Rowe Price Group, Inc.",Financial,Asset Management
300,ES,Eversource Energy,Utilities,Utilities - Regulated Electric
301,CBOE,"Cboe Global Markets, Inc.",Financial,Financial Data & Stock Exchanges
302,TT,Trane Technologies plc,Industrials,Building Products & Equipment
303,YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants
304,MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods
305,ZION,"Zions Bancorporation, National Association",Financial,Banks - Regional
306,BAC,Bank of America Corporation,Financial,Banks - Diversified
307,IPG,"The Interpublic Group of Companies, Inc.",Communication Services,Advertising Agencies
308,CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery
309,PNR,Pentair plc,Industrials,Specialty Industrial Machinery
310,EIX,Edison International,Utilities,Utilities - Regulated Electric
311,J,Jacobs Solutions Inc.,Industrials,Engineering & Construction
312,FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric
313,EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric
314,PPL,PPL Corporation,Utilities,Utilities - Regulated Electric
315,GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments
316,DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants
317,TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies
318,CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products
319,VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure
320,DXCM,"DexCom, Inc.",Healthcare,Medical Devices
321,DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery
322,D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric
