No.,Symbol,Company,Sector,Industry,Country,Market Cap,P/E,Book/sh,Cash/sh,Dividend Yield,Short Ratio,Total Debt/Equity,Profit Margin,Performance (Quarter),Performance (YTD),Beta,Earnings Date,Volume,Price,Change
34,CMCSA,Comcast Corp,Communication Services,Telecom Services,USA,135058.13,8.61,22.59,1.94,3.69%,2.2,1.23,0.131,-0.048,-0.048,0.96,4/24/2025 8:30,26834110,35.72,-2.43%
35,CME,CME Group Inc,Financial,Financial Data & Stock Exchanges,USA,96712.3,27.74,73.66,8.36,3.87%,2.54,0.14,0.568,0.156,0.156,0.46,4/23/2025 8:30,4242858,268.36,2.22%
36,CMG,Chipotle Mexican Grill,Consumer Cyclical,Restaurants,USA,67875.28,44.95,2.69,1.05,,1.68,1.24,0.136,-0.170,-0.170,1.12,4/23/2025 16:30,12639708,50.08,-3.73%
37,CNC,Centene Corp,Healthcare,Healthcare Plans,USA,31891.7,10.29,53.26,,2.59%,2.21,0.74,0.020,0.061,0.061,0.48,4/25/2025 8:30,8566242,64.29,5.86%
38,COF,Capital One Financial Corp,Financial,Credit Services,USA,62820.61,14.16,159.44,,1.53%,5.89,0.67,0.083,-0.080,-0.080,1.14,4/22/2025 16:30,13576312,164.04,-9.96%
39,CSX,CSX Corp,Industrials,Railroads,USA,52754.03,15.62,6.58,0.53,1.64%,2.03,1.52,0.240,-0.133,-0.133,1.22,4/16/2025 16:30,21170848,27.99,-5.88%
40,DAL,"Delta Air Lines, Inc",Industrials,Airlines,USA,25005.19,7.26,23.66,5.01,1.34%,2.03,1.49,0.056,-0.360,-0.360,1.46,4/9/2025 8:30,18127870,38.71,-10.74%
41,DGX,"Quest Diagnostics, Inc",Healthcare,Diagnostics & Research,USA,18936.19,22.17,61.06,4.95,1.79%,2.47,1.05,0.088,0.131,0.131,0.53,4/22/2025 8:30,1828614,170.63,1.59%
42,DHI,D.R. Horton Inc,Consumer Cyclical,Residential Construction,USA,38542.64,8.64,78.53,9.74,1.30%,2,0.21,0.127,-0.125,-0.125,1.46,4/17/2025 8:30,4161386,122.31,-4.42%
43,DHR,Danaher Corp,Healthcare,Diagnostics & Research,USA,141587.61,37.43,68.9,2.9,0.61%,1.79,0.35,0.163,-0.138,-0.138,0.8,4/22/2025 8:30,5413397,197.9,-3.54%
44,DOW,Dow Inc,Basic Materials,Chemicals,USA,22142.55,20.09,24.67,3.76,8.89%,3.14,1.02,0.026,-0.216,-0.216,0.92,4/24/2025 8:30,18080863,31.46,-9.83%
45,DPZ,Dominos Pizza Inc,Consumer Cyclical,Restaurants,USA,15907.76,27.78,-115.58,13.48,1.53%,2.62,,0.124,0.105,0.105,1.17,4/28/2025 8:30,740380,463.78,-0.98%
46,EGP,"Eastgroup Properties, Inc",Real Estate,REIT - Industrial,USA,8625.58,35.6,63.52,0.34,3.46%,4.55,0.48,0.354,0.033,0.033,1.06,4/23/2025 16:30,593255,165.8,-5.61%
47,ERIC,Telefonaktiebolaget L M Ericsson ADR,Technology,Communication Equipment,Sweden,22970.48,2077.78,2.56,1.66,3.98%,2.27,0.48,0.001,-0.072,-0.072,1,4/15/2025 8:30,29123158,7.48,-3.98%
48,EWBC,"East West Bancorp, Inc",Financial,Banks - Regional,USA,10787.23,9.35,55.79,,3.03%,3.01,0.47,0.262,-0.186,-0.186,0.89,4/22/2025 16:30,2810432,77.92,-14.14%
49,FAF,First American Financial Corp,Financial,Insurance - Specialty,USA,6675.99,51.79,47.66,,3.34%,2.82,0.36,0.022,0.037,0.037,1.3,4/23/2025 16:30,1847777,64.76,-3.34%
50,FAST,Fastenal Co,Industrials,Industrial Distribution,USA,44734.92,38.93,6.31,0.45,2.17%,4.2,0.13,0.153,0.085,0.085,1.02,4/11/2025 8:30,5668440,78.01,0.00%
51,FCFS,FirstCash Holdings Inc,Financial,Credit Services,USA,5698.49,22.21,45.9,3.91,1.19%,2.2,1,0.076,0.229,0.229,0.65,4/24/2025 8:30,548350,127.31,4.28%
52,FHN,First Horizon Corporation,Financial,Banks - Regional,USA,8848.66,12.69,16,,3.59%,2.01,0.56,0.148,-0.146,-0.146,0.59,4/16/2025 8:30,7637953,17.21,-12.42%
53,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,23697.47,11.31,26.17,,4.26%,5.06,1,0.155,-0.161,-0.161,0.9,4/17/2025 8:30,7037982,35.47,-10.47%
54,FNB,F.N.B. Corp,Financial,Banks - Regional,USA,4348.98,9.56,17.52,,4.11%,3.74,0.72,0.178,-0.182,-0.182,0.9,4/16/2025 16:30,4757771,12.09,-11.43%
55,FR,"First Industrial Realty Trust, Inc",Real Estate,REIT - Industrial,USA,6805.78,23.06,20.14,0.38,3.48%,1.68,0.84,0.429,-0.002,-0.002,1.08,4/16/2025 16:30,2622802,50.03,-7.44%
56,FSV,FirstService Corp,Real Estate,Real Estate Services,Canada,7588.93,56.33,26.24,5.36,0.64%,1.58,1.32,0.026,-0.077,-0.077,1.06,4/24/2025 8:30,148244,167.01,-2.61%
57,FTI,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,USA,12402.65,15.38,7.31,2.77,0.76%,2.01,0.58,0.093,0.019,0.019,0.99,4/24/2025 8:30,8728048,29.49,-9.60%
58,FULT,Fulton Financial Corp,Financial,Banks - Regional,USA,2958.92,10.33,16.5,,4.50%,3.6,0.61,0.153,-0.158,-0.158,0.77,4/15/2025 16:30,2390965,16.24,-9.48%
59,GE,GE Aerospace,Industrials,Aerospace & Defense,USA,201381.5,31.41,18.01,13.6,0.73%,2.79,1.05,0.143,0.125,0.125,1.32,4/22/2025 8:30,12750477,187.63,-6.08%
60,GEV,GE Vernova Inc,Utilities,Utilities - Renewable,USA,82124.62,52.91,34.6,29.74,0.22%,1.18,0.11,0.044,-0.095,-0.095,1.36,4/23/2025 8:30,5752183,297.66,-10.02%
61,GILD,"Gilead Sciences, Inc",Healthcare,Drug Manufacturers - General,USA,139964.43,306.16,15.51,9.29,2.76%,2.57,1.41,0.017,0.217,0.217,0.27,4/24/2025 16:30,10045247,112.39,0.45%
62,GS,"Goldman Sachs Group, Inc",Financial,Capital Markets,USA,158885.36,12.61,350.05,,2.45%,1.45,5.52,0.107,-0.107,-0.107,1.31,4/14/2025 8:30,5193888,511.23,-9.21%
63,HAL,Halliburton Co,Energy,Oil & Gas Equipment & Services,USA,19436.57,7.91,12.1,3.02,3.15%,2.31,0.83,0.109,-0.177,-0.177,1.16,4/22/2025 8:30,20916683,22.39,-12.88%
64,HBAN,"Huntington Bancshares, Inc",Financial,Banks - Regional,USA,19661.75,11.04,12.21,,4.73%,3.14,0.87,0.152,-0.173,-0.173,0.91,4/17/2025 8:30,31270165,13.46,-11.51%
65,HOMB,Home Bancshares Inc,Financial,Banks - Regional,USA,5128.57,12.85,19.92,,3.11%,4.59,0.31,0.275,-0.087,-0.087,0.78,4/16/2025 16:30,1636624,25.83,-8.99%
66,HWC,Hancock Whitney Corp,Financial,Banks - Regional,USA,4093.65,9,47.93,,3.53%,4.23,0.23,0.223,-0.131,-0.131,1.07,4/15/2025 16:30,1172628,47.53,-10.27%
67,IBKR,Interactive Brokers Group Inc,Financial,Capital Markets,USA,67392.27,23.03,39.3,161.11,0.63%,1.25,0.03,0.080,-0.097,-0.097,1.19,4/15/2025 16:30,2138147,159.48,-8.51%
68,IBM,International Business Machines Corp,Technology,Information Technology Services,USA,225779.58,37.94,29.48,15.97,2.84%,3.87,2.14,0.096,0.108,0.108,0.62,4/23/2025 16:30,5309626,243.49,-2.60%
69,INFY,Infosys Ltd ADR,Technology,Information Technology Services,India,72059.06,21.77,2.49,0.87,3.40%,9.01,0.09,0.173,-0.209,-0.209,0.96,4/17/2025 8:30,16271510,17.35,-5.66%
70,ISRG,Intuitive Surgical Inc,Healthcare,Medical Instruments & Supplies,USA,177206.17,77.12,46.08,11.2,,2.35,0.01,0.278,-0.052,-0.052,1.71,4/22/2025 16:30,2728982,494.61,-2.45%
71,ITGR,Integer Holdings Corp,Healthcare,Medical Devices,USA,3901.97,34.57,48.27,1.38,,6.38,0.68,0.069,-0.124,-0.124,1.04,4/24/2025 8:30,888373,116.07,-4.14%
72,JBHT,"J.B. Hunt Transport Services, Inc",Industrials,Integrated Freight & Logistics,USA,13624.11,24.5,39.92,0.47,1.34%,3.6,0.45,0.047,-0.202,-0.202,1.32,4/15/2025 16:30,1704536,136.23,-10.83%
73,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,USA,385141.87,27.57,29.7,10.18,3.14%,2.63,0.53,0.158,0.105,0.105,0.4,4/15/2025 8:30,13249313,159.82,2.87%
74,JPM,JPMorgan Chase & Co,Financial,Banks - Diversified,USA,639441.48,11.58,116.07,,2.40%,2.26,2.28,0.201,-0.046,-0.046,1.07,4/11/2025 8:30,17188469,228.69,-6.97%
75,KDP,Keurig Dr Pepper Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA,48341.03,33.88,17.87,0.43,2.59%,2.17,0.71,0.094,0.109,0.109,0.53,4/24/2025 8:30,22674798,35.63,1.39%
76,KEY,Keycorp,Financial,Banks - Regional,USA,15604.29,,14.16,,5.87%,1.89,0.81,-0.033,-0.176,-0.176,1.06,4/17/2025 8:30,20373968,14.12,-12.13%
77,KMX,Carmax Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,11759.54,26,40.36,5.29,,5.99,3.13,0.018,-0.065,-0.065,1.43,4/10/2025 8:30,4514441,76.46,-7.62%
78,LBRT,Liberty Energy Inc,Energy,Oil & Gas Equipment & Services,USA,2129.85,7.04,12.23,0.12,2.40%,3.77,0.27,0.073,-0.340,-0.340,0.67,4/16/2025 16:30,5647607,13.12,-18.41%
79,LEVI,Levi Strauss & Co,Consumer Cyclical,Apparel Manufacturing,USA,5716.79,27.51,4.98,1.74,3.82%,2.51,1.12,0.033,-0.165,-0.165,1.15,4/7/2025 16:30,4566801,14.44,-13.69%
80,LKQ,LKQ Corp,Consumer Cyclical,Auto Parts,USA,10905.77,16.13,23.22,0.91,2.84%,3.69,0.93,0.048,0.148,0.148,0.96,4/24/2025 8:30,2995259,42.18,-2.77%
81,LUV,Southwest Airlines Co,Industrials,Airlines,USA,17104.2,40.63,17.44,14.72,2.60%,3.19,0.78,0.017,-0.142,-0.142,1.15,4/24/2025 8:30,18933618,28.86,-9.42%
82,LW,Lamb Weston Holdings Inc,Consumer Defensive,Packaged Foods,USA,8497.1,23.55,11.45,0.55,2.41%,2.86,2.52,0.058,-0.109,-0.109,0.45,4/3/2025 8:30,10401352,59.57,10.01%
83,LYB,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals,United Kingdom,20412.69,15.24,38.48,10.47,8.58%,2.37,1.04,0.034,-0.150,-0.150,0.84,4/25/2025 8:30,6910015,63.11,-10.67%
