No.,Symbol,Company,Sector,Industry,Country,Market Cap,P/E,Book/sh,Cash/sh,Dividend Yield,Short Ratio,Total Debt/Equity,Profit Margin,Performance (Quarter),Performance (YTD),Beta,Earnings Date,Volume,Price,Change
113,PHM,PulteGroup Inc,Consumer Cyclical,Residential Construction,USA,19704.98,6.64,59.74,8.2,0.88%,2.16,0.19,0.172,-0.102,-0.102,1.38,4/22/2025 8:30,2705761,97.75,-6.31%
114,PKG,Packaging Corp Of America,Consumer Cyclical,Packaging & Containers,USA,16986.8,21.19,49.04,8.76,2.68%,1.21,0.63,0.095,-0.160,-0.160,0.86,4/22/2025 16:30,1537469,189.16,-6.06%
115,PLD,Prologis Inc,Real Estate,REIT - Industrial,USA,96531.72,25.78,58.18,1.39,4.00%,3.22,0.62,0.454,-0.039,-0.039,1.26,4/16/2025 8:30,7613156,101.59,-9.57%
116,PM,Philip Morris International Inc,Consumer Defensive,Tobacco,USA,251995.73,35.85,-7.56,2.74,3.45%,2.19,,0.187,0.347,0.347,0.54,4/23/2025 8:30,10581525,162.07,3.78%
117,PNC,PNC Financial Services Group Inc,Financial,Banks - Regional,USA,63830.46,11.73,122.94,,4.07%,1.89,1.19,0.162,-0.164,-0.164,1.05,4/15/2025 8:30,3408474,161.29,-8.88%
118,PNFP,Pinnacle Financial Partners Inc,Financial,Banks - Regional,USA,7104.58,15.35,80.46,,1.02%,3.08,0.44,0.153,-0.197,-0.197,0.99,4/14/2025 16:30,1033611,91.83,-14.07%
119,POR,Portland General Electric Co,Utilities,Utilities - Regulated Electric,USA,4852.09,14.67,34.7,0.11,4.70%,3.74,1.35,0.099,0.016,0.016,0.59,4/25/2025 8:30,1897744,44.31,-0.72%
120,PRCT,Procept BioRobotics Corp,Healthcare,Medical Devices,USA,3002.97,,7.35,6.09,,6.22,0.2,-0.407,-0.320,-0.320,1.08,4/24/2025 8:30,1394485,54.78,-5.13%
121,PSMT,Pricesmart Inc,Consumer Defensive,Discount Stores,USA,2659.96,19.07,37.79,7.35,1.54%,4.08,0.21,0.027,-0.059,-0.059,0.78,4/9/2025 16:30,217096,86.75,-2.62%
122,R,"Ryder System, Inc",Industrials,Rental & Leasing Services,USA,5784.98,12.56,74.07,3.69,2.11%,2.84,2.85,0.039,-0.117,-0.117,0.92,4/23/2025 8:30,729683,138.59,-8.62%
123,RCI,Rogers Communications Inc,Communication Services,Telecom Services,Canada,14026.7,11.05,13.49,1.16,5.32%,9.14,4.58,0.084,-0.152,-0.152,0.75,4/23/2025 8:30,2025830,26.07,3.08%
124,REXR,Rexford Industrial Realty Inc,Real Estate,REIT - Industrial,USA,8177.08,29.8,36.26,0.25,4.85%,3.57,0.42,0.282,-0.072,-0.072,1.12,4/16/2025 16:30,3820128,35.87,-8.98%
125,RF,Regions Financial Corp,Financial,Banks - Regional,USA,17756.17,10.15,17.79,,5.23%,5.12,0.39,0.190,-0.166,-0.166,0.97,4/17/2025 8:30,12987722,19.61,-10.94%
126,RH,RH,Consumer Cyclical,Specialty Retail,USA,2779.08,41.44,-8.74,1.63,,2.28,,0.023,-0.620,-0.620,2.33,4/2/2025 16:30,12789465,149.39,-40.09%
127,RJF,"Raymond James Financial, Inc",Financial,Asset Management,USA,26695.67,12.72,57.89,67.56,1.33%,4.31,0.37,0.141,-0.161,-0.161,1.04,4/23/2025 16:30,2127831,130.28,-8.18%
128,RPM,"RPM International, Inc",Basic Materials,Specialty Chemicals,USA,14475.5,22.23,21.13,2.09,1.47%,2.09,0.86,0.089,-0.085,-0.085,1.07,4/8/2025 8:30,875300,112.59,-4.24%
129,RS,Reliance Inc,Basic Materials,Steel,USA,14584.27,17.83,134.41,6.01,1.65%,2.99,0.2,0.063,0.023,0.023,0.9,4/24/2025 8:30,409213,275.32,-6.32%
130,SAP,Sap SE ADR,Technology,Software - Application,Germany,308376.4,92.82,40.33,9.84,0.95%,2.59,0.23,0.091,0.074,0.074,1.36,4/22/2025 16:30,1937331,264.34,-2.61%
131,SCHW,Charles Schwab Corp,Financial,Capital Markets,USA,139592.23,25.07,22.01,38.54,1.49%,1.48,0.95,0.211,0.012,0.012,0.9,4/17/2025 8:30,13517861,74.87,-4.73%
132,SFBS,ServisFirst Bancshares Inc,Financial,Banks - Regional,USA,4037.43,17.79,29.62,,1.79%,16.18,1.29,0.232,-0.127,-0.127,0.82,4/21/2025 16:30,268557,73.97,-10.02%
133,SFNC,Simmons First National Corp,Financial,Banks - Regional,USA,2370.21,15.54,28.08,,4.56%,3.54,0.35,0.105,-0.151,-0.151,0.92,4/16/2025 16:30,1044957,18.84,-8.32%
134,SKX,"Skechers U S A, Inc",Consumer Cyclical,Footwear & Accessories,USA,7312.41,11.79,28.66,8.27,,3.2,0.51,0.071,-0.272,-0.272,1.04,4/24/2025 16:30,10488525,48.96,-17.06%
135,SLB,Schlumberger Ltd,Energy,Oil & Gas Equipment & Services,USA,53319.92,12.62,15.08,3.43,2.90%,4.51,0.6,0.123,0.023,0.023,1.03,4/25/2025 8:30,40728763,39.21,-7.06%
136,SLG,SL Green Realty Corp,Real Estate,REIT - Office,USA,3981.13,1093.78,49.33,4.39,5.85%,7.37,1.24,0.006,-0.224,-0.224,1.58,4/16/2025 16:30,1512063,52.72,-9.85%
137,SMPL,Simply Good Foods Co,Consumer Defensive,Packaged Foods,USA,3507.84,24.8,17.58,1.21,,3.55,0.22,0.104,-0.109,-0.109,0.73,4/9/2025 8:30,1457252,34.72,0.29%
138,SNV,Synovus Financial Corp,Financial,Banks - Regional,USA,5652.84,13.15,33.35,,3.90%,3.09,0.36,0.128,-0.217,-0.217,1.14,4/16/2025 16:30,3211627,40.1,-14.24%
139,SNY,Sanofi ADR,Healthcare,Drug Manufacturers - General,France,133714.13,22.81,32.01,3.2,4.10%,2.15,0.23,0.135,0.133,0.133,0.54,4/24/2025 8:30,1842284,54.62,1.24%
140,STLD,Steel Dynamics Inc,Basic Materials,Steel,USA,17397.02,11.85,59.12,4.92,1.71%,1.42,0.37,0.088,0.017,0.017,1.46,4/22/2025 16:30,1878302,116.06,-8.87%
141,STRA,Strategic Education Inc,Consumer Defensive,Education & Training Services,USA,2027.81,17.62,67.85,7.83,2.92%,2.62,0.08,0.092,-0.120,-0.120,0.52,4/24/2025 8:30,278813,82.25,-3.82%
142,STT,State Street Corp,Financial,Asset Management,USA,23893.89,10.06,77.95,,3.77%,1.77,1.49,0.117,-0.156,-0.156,1.44,4/17/2025 8:30,3020111,82.83,-7.55%
143,STZ,Constellation Brands Inc,Consumer Defensive,Beverages - Brewers,USA,32800.24,48.59,43.26,0.41,2.22%,1.33,1.55,0.067,-0.179,-0.179,0.74,4/9/2025 16:30,2639586,181.49,-0.68%
