Date,Action,Symbol,Company,Reason,,,,,,,,,,
15-Mar-23,Removed,SIVB,SVB Financial Group,"The FDIC placed SVB's main subsidiary, Silicon Valley Bank, into receivership.[17]",,,,,,,,,,
5-Jan-23,Removed,VNO,Vornado Realty Trust,Market capitalization change.[18],,,,,,,,,,
4-Jan-23,Added,GEHC,GE HealthCare,S&P 500 constituent General Electric spun off GE HealthCare.[19],,,,,,,,,,
22-Dec-22,Added,STLD,Steel Dynamics,S&P 500 constituent Johnson & Johnson acquired Abiomed.[20],,,,,,,,,,
22-Dec-22,Removed,ABMD,Abiomed,S&P 500 constituent Johnson & Johnson acquired Abiomed.[20],,,,,,,,,,
19-Dec-22,Added,FSLR,First Solar,Market capitalization change.[21],,,,,,,,,,
19-Dec-22,Removed,FBHS,Fortune Brands Home & Security,Market capitalization change.[21],,,,,,,,,,
19-Dec-22,Removed,MBC,MasterBrand,Market capitalization change.[21],,,,,,,,,,
15-Dec-22,Added,MBC,MasterBrand,S&P 500 constituent Fortune Brands Home & Security spun off MasterBrand.[21],,,,,,,,,,
1-Nov-22,Added,ACGL,Arch Capital Group,Elon Musk acquired Twitter.[22],,,,,,,,,,
1-Nov-22,Removed,TWTR,Twitter,Elon Musk acquired Twitter.[22],,,,,,,,,,
12-Oct-22,Added,TRGP,Targa Resources,Elliot Management Corp acquired Nielsen Holdings.[23],,,,,,,,,,
12-Oct-22,Removed,NLSN,Nielsen Holdings,Elliot Management Corp acquired Nielsen Holdings.[23],,,,,,,,,,
3-Oct-22,Added,PCG,PG&E,Vista Equity Partners acquired Citrix Systems.[24],,,,,,,,,,
3-Oct-22,Added,EQT,EQT Corporation,S&P 500 constituent Prologis Inc. acquired Duke Realty.[24],,,,,,,,,,
3-Oct-22,Removed,CTXS,Citrix Systems,Vista Equity Partners acquired Citrix Systems.[24],,,,,,,,,,
3-Oct-22,Removed,DRE,Duke Realty,S&P 500 constituent Prologis Inc. acquired Duke Realty.[24],,,,,,,,,,
19-Sep-22,Added,CSGP,CoStar Group,Market capitalization change.[25],,,,,,,,,,
19-Sep-22,Added,INVH,Invitation Homes,Market capitalization change.[25],,,,,,,,,,
19-Sep-22,Removed,PVH,PVH,Market capitalization change.[25],,,,,,,,,,
19-Sep-22,Removed,PENN,Penn Entertainment,Market capitalization change.[25],,,,,,,,,,
21-Jun-22,Added,KDP,Keurig Dr Pepper,Market capitalization change.[26],,,,,,,,,,
