No.,Symbol,Company,Sector,Industry,Country
81,CCI,Crown Castle Inc,Real Estate,REIT - Specialty,USA
82,CCL,Carnival Corp,Consumer Cyclical,Travel Services,USA
83,CDNS,"Cadence Design Systems, Inc",Technology,Software - Application,USA
84,CDW,CDW Corp,Technology,Information Technology Services,USA
85,CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable,USA
86,CF,CF Industries Holdings Inc,Basic Materials,Agricultural Inputs,USA
87,CFG,Citizens Financial Group Inc,Financial,Banks - Regional,USA
88,CHD,"Church & Dwight Co., Inc",Consumer Defensive,Household & Personal Products,USA
89,CHRW,"C.H. Robinson Worldwide, Inc",Industrials,Integrated Freight & Logistics,USA
90,CHTR,Charter Communications Inc,Communication Services,Telecom Services,USA
91,CI,Cigna Group,Healthcare,Healthcare Plans,USA
92,CINF,Cincinnati Financial Corp,Financial,Insurance - Property & Casualty,USA
93,CL,Colgate-Palmolive Co,Consumer Defensive,Household & Personal Products,USA
94,CLX,Clorox Co,Consumer Defensive,Household & Personal Products,USA
95,CMCSA,Comcast Corp,Communication Services,Telecom Services,USA
96,CME,CME Group Inc,Financial,Financial Data & Stock Exchanges,USA
97,CMG,Chipotle Mexican Grill,Consumer Cyclical,Restaurants,USA
98,CMI,Cummins Inc,Industrials,Specialty Industrial Machinery,USA
99,CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,USA
100,CNC,Centene Corp,Healthcare,Healthcare Plans,USA
101,CNP,Centerpoint Energy Inc,Utilities,Utilities - Regulated Electric,USA
102,COF,Capital One Financial Corp,Financial,Credit Services,USA
103,COIN,Coinbase Global Inc,Financial,Financial Data & Stock Exchanges,USA
104,COO,"Cooper Companies, Inc",Healthcare,Medical Instruments & Supplies,USA
105,COP,Conoco Phillips,Energy,Oil & Gas E&P,USA
106,COR,Cencora Inc,Healthcare,Medical Distribution,USA
107,COST,Costco Wholesale Corp,Consumer Defensive,Discount Stores,USA
108,CPAY,Corpay Inc,Technology,Software - Infrastructure,USA
109,CPB,Campbells Co,Consumer Defensive,Packaged Foods,USA
110,CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA
111,CPT,Camden Property Trust,Real Estate,REIT - Residential,USA
112,CRL,Charles River Laboratories International Inc,Healthcare,Diagnostics & Research,USA
113,CRM,Salesforce Inc,Technology,Software - Application,USA
114,CRWD,Crowdstrike Holdings Inc,Technology,Software - Infrastructure,USA
115,CSCO,"Cisco Systems, Inc",Technology,Communication Equipment,USA
116,CSGP,"Costar Group, Inc",Real Estate,Real Estate Services,USA
117,CSX,CSX Corp,Industrials,Railroads,USA
118,CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA
119,CTRA,Coterra Energy Inc,Energy,Oil & Gas E&P,USA
120,CTSH,Cognizant Technology Solutions Corp,Technology,Information Technology Services,USA
121,CTVA,Corteva Inc,Basic Materials,Agricultural Inputs,USA
122,CVS,CVS Health Corp,Healthcare,Healthcare Plans,USA
123,CVX,Chevron Corp,Energy,Oil & Gas Integrated,USA
124,CZR,Caesars Entertainment Inc,Consumer Cyclical,Resorts & Casinos,USA
125,D,Dominion Energy Inc,Utilities,Utilities - Regulated Electric,USA
126,DAL,"Delta Air Lines, Inc",Industrials,Airlines,USA
127,DASH,DoorDash Inc,Communication Services,Internet Content & Information,USA
128,DAY,Dayforce Inc,Technology,Software - Application,USA
129,DD,DuPont de Nemours Inc,Basic Materials,Specialty Chemicals,USA
130,DE,Deere & Co,Industrials,Farm & Heavy Construction Machinery,USA
131,DECK,Deckers Outdoor Corp,Consumer Cyclical,Footwear & Accessories,USA
132,DELL,Dell Technologies Inc,Technology,Computer Hardware,USA
133,DG,Dollar General Corp,Consumer Defensive,Discount Stores,USA
134,DGX,"Quest Diagnostics, Inc",Healthcare,Diagnostics & Research,USA
135,DHI,D.R. Horton Inc,Consumer Cyclical,Residential Construction,USA
136,DHR,Danaher Corp,Healthcare,Diagnostics & Research,USA
137,DIS,Walt Disney Co,Communication Services,Entertainment,USA
138,DLR,Digital Realty Trust Inc,Real Estate,REIT - Specialty,USA
139,DLTR,Dollar Tree Inc,Consumer Defensive,Discount Stores,USA
140,DOC,Healthpeak Properties Inc,Real Estate,REIT - Healthcare Facilities,USA
141,DOV,Dover Corp,Industrials,Specialty Industrial Machinery,USA
142,DOW,Dow Inc,Basic Materials,Chemicals,USA
143,DPZ,Dominos Pizza Inc,Consumer Cyclical,Restaurants,USA
144,DRI,"Darden Restaurants, Inc",Consumer Cyclical,Restaurants,USA
