No.,Symbol,Company,Sector,Industry,Country
397,RMD,Resmed Inc,Healthcare,Medical Instruments & Supplies,USA
398,ROK,Rockwell Automation Inc,Industrials,Specialty Industrial Machinery,USA
399,ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA
400,ROP,Roper Technologies Inc,Technology,Software - Application,USA
401,ROST,"Ross Stores, Inc",Consumer Cyclical,Apparel Retail,USA
402,RSG,"Republic Services, Inc",Industrials,Waste Management,USA
403,RTX,RTX Corp,Industrials,Aerospace & Defense,USA
404,RVTY,Revvity Inc,Healthcare,Diagnostics & Research,USA
405,SBAC,SBA Communications Corp,Real Estate,REIT - Specialty,USA
406,SBUX,Starbucks Corp,Consumer Cyclical,Restaurants,USA
407,SCHW,Charles Schwab Corp,Financial,Capital Markets,USA
408,SHW,Sherwin-Williams Co,Basic Materials,Specialty Chemicals,USA
409,SJM,J.M. Smucker Co,Consumer Defensive,Packaged Foods,USA
410,SLB,Schlumberger Ltd,Energy,Oil & Gas Equipment & Services,USA
411,SMCI,Super Micro Computer Inc,Technology,Computer Hardware,USA
412,SNA,"Snap-on, Inc",Industrials,Tools & Accessories,USA
413,SNPS,"Synopsys, Inc",Technology,Software - Infrastructure,USA
414,SO,Southern Company,Utilities,Utilities - Regulated Electric,USA
415,SOLV,Solventum Corp,Healthcare,Medical Instruments & Supplies,USA
416,SPG,"Simon Property Group, Inc",Real Estate,REIT - Retail,USA
417,SPGI,S&P Global Inc,Financial,Financial Data & Stock Exchanges,USA
418,SRE,Sempra,Utilities,Utilities - Diversified,USA
419,STE,Steris Plc,Healthcare,Medical Devices,Ireland
420,STLD,Steel Dynamics Inc,Basic Materials,Steel,USA
421,STT,State Street Corp,Financial,Asset Management,USA
422,STX,Seagate Technology Holdings Plc,Technology,Computer Hardware,USA
423,STZ,Constellation Brands Inc,Consumer Defensive,Beverages - Brewers,USA
424,SW,Smurfit WestRock plc,Consumer Cyclical,Packaging & Containers,Ireland
425,SWK,Stanley Black & Decker Inc,Industrials,Tools & Accessories,USA
426,SWKS,"Skyworks Solutions, Inc",Technology,Semiconductors,USA
427,SYF,Synchrony Financial,Financial,Credit Services,USA
428,SYK,Stryker Corp,Healthcare,Medical Devices,USA
429,SYY,Sysco Corp,Consumer Defensive,Food Distribution,USA
430,T,"AT&T, Inc",Communication Services,Telecom Services,USA
431,TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,USA
432,TDG,Transdigm Group Incorporated,Industrials,Aerospace & Defense,USA
433,TDY,Teledyne Technologies Inc,Technology,Scientific & Technical Instruments,USA
434,TECH,Bio-Techne Corp,Healthcare,Biotechnology,USA
435,TEL,TE Connectivity plc,Technology,Electronic Components,Ireland
436,TER,"Teradyne, Inc",Technology,Semiconductor Equipment & Materials,USA
437,TFC,Truist Financial Corporation,Financial,Banks - Regional,USA
438,TGT,Target Corp,Consumer Defensive,Discount Stores,USA
439,TJX,"TJX Companies, Inc",Consumer Cyclical,Apparel Retail,USA
440,TKO,TKO Group Holdings Inc,Communication Services,Entertainment,USA
441,TMO,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research,USA
442,TMUS,T-Mobile US Inc,Communication Services,Telecom Services,USA
443,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas E&P,USA
444,TPR,Tapestry Inc,Consumer Cyclical,Luxury Goods,USA
445,TRGP,Targa Resources Corp,Energy,Oil & Gas Midstream,USA
446,TRMB,Trimble Inc,Technology,Scientific & Technical Instruments,USA
447,TROW,T. Rowe Price Group Inc,Financial,Asset Management,USA
448,TRV,Travelers Companies Inc,Financial,Insurance - Property & Casualty,USA
449,TSCO,Tractor Supply Co,Consumer Cyclical,Specialty Retail,USA
450,TSLA,Tesla Inc,Consumer Cyclical,Auto Manufacturers,USA
451,TSN,"Tyson Foods, Inc",Consumer Defensive,Farm Products,USA
452,TT,Trane Technologies plc,Industrials,Building Products & Equipment,Ireland
453,TTWO,"Take-Two Interactive Software, Inc",Communication Services,Electronic Gaming & Multimedia,USA
454,TXN,Texas Instruments Inc,Technology,Semiconductors,USA
455,TXT,Textron Inc,Industrials,Aerospace & Defense,USA
456,TYL,"Tyler Technologies, Inc",Technology,Software - Application,USA
457,UAL,United Airlines Holdings Inc,Industrials,Airlines,USA
458,UBER,Uber Technologies Inc,Technology,Software - Application,USA
459,UDR,UDR Inc,Real Estate,REIT - Residential,USA
460,UHS,"Universal Health Services, Inc",Healthcare,Medical Care Facilities,USA
461,ULTA,Ulta Beauty Inc,Consumer Cyclical,Specialty Retail,USA
462,UNH,Unitedhealth Group Inc,Healthcare,Healthcare Plans,USA
463,UNP,Union Pacific Corp,Industrials,Railroads,USA
464,UPS,"United Parcel Service, Inc",Industrials,Integrated Freight & Logistics,USA
465,URI,"United Rentals, Inc",Industrials,Rental & Leasing Services,USA
466,USB,U.S. Bancorp,Financial,Banks - Regional,USA
467,V,Visa Inc,Financial,Credit Services,USA
468,VICI,VICI Properties Inc,Real Estate,REIT - Diversified,USA
469,VLO,Valero Energy Corp,Energy,Oil & Gas Refining & Marketing,USA
470,VLTO,Veralto Corp,Industrials,Pollution & Treatment Controls,USA
471,VMC,Vulcan Materials Co,Basic Materials,Building Materials,USA
472,VRSK,Verisk Analytics Inc,Industrials,Consulting Services,USA
473,VRSN,Verisign Inc,Technology,Software - Infrastructure,USA
474,VRTX,"Vertex Pharmaceuticals, Inc",Healthcare,Biotechnology,USA
475,VST,Vistra Corp,Utilities,Utilities - Independent Power Producers,USA
476,VTR,Ventas Inc,Real Estate,REIT - Healthcare Facilities,USA
477,VTRS,Viatris Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA
478,VZ,Verizon Communications Inc,Communication Services,Telecom Services,USA
479,WAB,Westinghouse Air Brake Technologies Corp,Industrials,Railroads,USA
480,WAT,Waters Corp,Healthcare,Diagnostics & Research,USA
481,WBA,Walgreens Boots Alliance Inc,Healthcare,Pharmaceutical Retailers,USA
482,WBD,Warner Bros. Discovery Inc,Communication Services,Entertainment,USA
483,WDAY,Workday Inc,Technology,Software - Application,USA
484,WDC,Western Digital Corp,Technology,Computer Hardware,USA
485,WEC,WEC Energy Group Inc,Utilities,Utilities - Regulated Electric,USA
486,WELL,Welltower Inc,Real Estate,REIT - Healthcare Facilities,USA
487,WFC,Wells Fargo & Co,Financial,Banks - Diversified,USA
488,WM,"Waste Management, Inc",Industrials,Waste Management,USA
489,WMB,Williams Cos Inc,Energy,Oil & Gas Midstream,USA
490,WMT,Walmart Inc,Consumer Defensive,Discount Stores,USA
491,WRB,W.R. Berkley Corp,Financial,Insurance - Property & Casualty,USA
492,WSM,"Williams-Sonoma, Inc",Consumer Cyclical,Specialty Retail,USA
493,WST,"West Pharmaceutical Services, Inc",Healthcare,Medical Instruments & Supplies,USA
494,WTW,Willis Towers Watson Public Limited Co,Financial,Insurance Brokers,United Kingdom
495,WY,Weyerhaeuser Co,Real Estate,REIT - Specialty,USA
496,WYNN,Wynn Resorts Ltd,Consumer Cyclical,Resorts & Casinos,USA
497,XEL,"Xcel Energy, Inc",Utilities,Utilities - Regulated Electric,USA
498,XOM,Exxon Mobil Corp,Energy,Oil & Gas Integrated,USA
499,XYL,Xylem Inc,Industrials,Specialty Industrial Machinery,USA
500,YUM,Yum Brands Inc,Consumer Cyclical,Restaurants,USA
501,ZBH,Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA
502,ZBRA,Zebra Technologies Corp,Technology,Communication Equipment,USA
503,ZTS,Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA
