No.,Symbol,Company
466,UPS,"United Parcel Service, Inc."
467,URI,"United Rentals, Inc."
468,USB,U.S. Bancorp.
469,V,Visa Inc
470,VICI,VICI Properties Inc
471,VLO,Valero Energy Corp.
472,VLTO,Veralto Corp
473,VMC,Vulcan Materials Co
474,VRSK,Verisk Analytics Inc
475,VRSN,Verisign Inc.
476,VRTX,"Vertex Pharmaceuticals, Inc."
477,VST,Vistra Corp
478,VTR,Ventas Inc
479,VTRS,Viatris Inc
480,VZ,Verizon Communications Inc
481,WAB,Westinghouse Air Brake Technologies Corp
482,WAT,Waters Corp.
483,WBA,Walgreens Boots Alliance Inc
484,WBD,Warner Bros. Discovery Inc
485,WDC,Western Digital Corp.
486,WEC,WEC Energy Group Inc
487,WELL,Welltower Inc.
488,WFC,Wells Fargo & Co.
489,WM,"Waste Management, Inc."
490,WMB,Williams Cos Inc
491,WMT,Walmart Inc
492,WRB,W.R. Berkley Corp.
493,WST,"West Pharmaceutical Services, Inc."
494,WTW,Willis Towers Watson Public Limited Co
495,WY,Weyerhaeuser Co.
496,WYNN,Wynn Resorts Ltd.
497,XEL,"Xcel Energy, Inc."
498,XOM,Exxon Mobil Corp.
499,XYL,Xylem Inc
500,YUM,Yum Brands Inc.
501,ZBH,Zimmer Biomet Holdings Inc
502,ZBRA,Zebra Technologies Corp.
503,ZTS,Zoetis Inc
